#cancer	germline_gene	germline_context	somatic_gene	somatic_context	criteria
breast	AKAP9	coding	HRAS	coding	known_ppi
breast	AKAP9	coding	IKZF3	coding	known_ppi
breast	ARRDC3	noncoding	SMARCD1	coding	known_ppi
breast	BARD1	coding	BARD1	coding	same_gene
breast	BRCA1	coding	BRCA1	coding	same_gene
breast	BRCA1	coding	ESR1	coding	known_ppi
breast	BRCA1	coding	JAK2	coding	known_ppi
breast	BRCA1	coding	UBR5	coding	known_ppi
breast	BRCA2	coding	BRCA2	coding	same_gene
breast	C2CD6	noncoding	IKZF3	coding	known_ppi
breast	CBX8	noncoding	BAP1	coding	known_ppi;protein_complex
breast	CBX8	noncoding	H3C2	coding	known_ppi
breast	CCNE1	noncoding	CCNE1	coding	same_gene
breast	CCNE1	noncoding	FBXW7	coding	known_ppi
breast	CHEK2	noncoding	RB1	coding	known_ppi
breast	COL1A2	noncoding	SMARCD1	coding	known_ppi
breast	COL8A1	noncoding	FBLN2	coding	known_ppi
breast	CUX1	noncoding	CUX1	coding	same_gene
breast	ERBB4	noncoding	ABL2	coding	known_ppi
breast	ERBB4	noncoding	ERBB2	coding	known_ppi
breast	ERBB4	noncoding	ERBB3	coding	known_ppi
breast	ERBB4	noncoding	ERBB4	coding	same_gene
breast	ESRRG	noncoding	ATM	coding	known_ppi
breast	FGF10	noncoding	FGFR1	coding	ligand_receptor
breast	FGF10	noncoding	FGFR2	coding	ligand_receptor
breast	GRHL2	noncoding	ESR1	coding	known_ppi
breast	GRHL2	noncoding	GATA3	coding	known_ppi
breast	GRHL2	noncoding	TRPS1	noncoding	known_ppi
breast	H2BC6	noncoding	BAP1	coding	known_ppi
breast	H2BC6	noncoding	RAD51B	noncoding	known_ppi
breast	H4C13	noncoding	CREBBP	coding	known_ppi
breast	H4C13	noncoding	H3C2	coding	known_ppi;protein_complex
breast	H4C13	noncoding	RAD51B	noncoding	known_ppi
breast	ITPR1	noncoding	AKT1	coding	known_ppi
breast	KLF4	noncoding	KLF4	coding	same_gene
breast	KLHL38	noncoding	IKZF3	coding	known_ppi
breast	MAGI3	noncoding	PTEN	coding	known_ppi
breast	MAPT	noncoding	AKT1	coding	known_ppi
breast	NOTCH2	noncoding	NOTCH2	coding	same_gene
breast	OTUD7B	noncoding	CASP8	coding	known_ppi
breast	PALB2	coding	KEAP1	coding	known_ppi
breast	PDE4D	noncoding	UBR5	coding	known_ppi
breast	PHLDA3	coding	NTRK1	coding	known_ppi
breast	PIDD1	noncoding	KEAP1	coding	known_ppi
breast	PKLR	noncoding	TP53	coding	known_ppi
breast	PLCL2	noncoding	HRAS	coding	known_ppi
breast	RB1	coding	MDM4	coding	known_ppi
breast	RB1	coding	RB1	coding	same_gene
breast	RBBP8	noncoding	BARD1	coding	protein_complex
breast	RBBP8	noncoding	BRCA1	coding	known_ppi;protein_complex
breast	RBBP8	noncoding	BRCA2	coding	known_ppi
breast	RBBP8	noncoding	MAP2K4	coding	known_ppi
breast	RBBP8	noncoding	RB1	coding	known_ppi
breast	RNF115	noncoding	MDM4	coding	known_ppi
breast	RTKN2	noncoding	CLTC	coding	known_ppi
breast	TACC2	noncoding	GNAS	coding	known_ppi
breast	TBX3	noncoding	TBX3	coding	same_gene
breast	TGFBR2	noncoding	CDH1	coding	known_ppi
breast	TP53	coding	CREBBP	coding	known_ppi
breast	TP53	coding	EP300	coding	known_ppi
breast	TP53	coding	MDM4	coding	known_ppi;protein_complex
breast	TP53	coding	TP53	coding	same_gene
breast	TP53	coding	UBR5	coding	known_ppi
breast	XBP1	noncoding	XBP1	noncoding	same_gene
breast	XPNPEP3	noncoding	UBR5	coding	known_ppi
breast	XRCC6	noncoding	NOTCH1	coding	known_ppi
colorectal	APC	coding	APC	coding	same_gene
colorectal	APC	coding	AXIN1	coding	protein_complex
colorectal	APC	coding	CTNNB1	coding	known_ppi
colorectal	BMP2	noncoding	ACVR2A	coding	ligand_receptor
colorectal	BMP2	noncoding	BMPR1A	coding	known_ppi;ligand_receptor
colorectal	BMP4	noncoding	ACVR2A	coding	ligand_receptor
colorectal	BMP4	noncoding	BMPR1A	coding	known_ppi;ligand_receptor
colorectal	BMP5	noncoding	ACVR2A	coding	ligand_receptor
colorectal	BMP5	noncoding	BMPR1A	coding	ligand_receptor
colorectal	BMP7	noncoding	ACVR2A	coding	ligand_receptor
colorectal	BMP7	noncoding	BMPR1A	coding	ligand_receptor
colorectal	COL4A2	noncoding	ITGAV	coding	ligand_receptor
colorectal	EIF3H	noncoding	ARHGEF10	coding	known_ppi
colorectal	EIF3H	noncoding	CTNND1	coding	known_ppi
colorectal	EIF3H	noncoding	EIF3E	coding	known_ppi;protein_complex
colorectal	EIF3H	noncoding	TP53	coding	known_ppi
colorectal	EIF3H	noncoding	UBR5	coding	known_ppi
colorectal	FHL3	noncoding	RAD21	coding	known_ppi
colorectal	GNA12	noncoding	PPP2R1A	coding	known_ppi
colorectal	HLA-G	noncoding	B2M	coding	known_ppi
colorectal	HLA-G	noncoding	HLA-A	coding	known_ppi
colorectal	KLF5	noncoding	SMAD2	coding	known_ppi
colorectal	KLF5	noncoding	SMAD4	coding	known_ppi
colorectal	LAMA5	noncoding	ITGAV	coding	ligand_receptor
colorectal	LAMC1	noncoding	ITGAV	coding	ligand_receptor
colorectal	LPAR1	noncoding	KRAS	coding	known_ppi
colorectal	LRP1	noncoding	GRIN2A	coding	known_ppi
colorectal	MLH1	coding	MLH1	coding	same_gene
colorectal	MLH1	noncoding	MLH1	coding	same_gene
colorectal	MSH2	coding	MSH2	coding	same_gene
colorectal	MSH6	coding	MSH6	coding	same_gene
colorectal	MYNN	coding	CDH1	coding	known_ppi
colorectal	MYNN	coding	CHD4	coding	known_ppi
colorectal	PKM	noncoding	GNAS	coding	known_ppi
colorectal	PKM	noncoding	PCBP1	coding	known_ppi
colorectal	POLD1	coding	POLD1	coding	same_gene
colorectal	POLD3	noncoding	POLD1	coding	known_ppi;protein_complex
colorectal	RFC3	noncoding	RAD17	coding	protein_complex
colorectal	RPL3	noncoding	SMAD2	coding	known_ppi
colorectal	RPL3	noncoding	SMAD4	coding	known_ppi
colorectal	RUNX2	noncoding	SOX9	coding	known_ppi
